己喊,唱捞,俊呈瘤(kcal),窜归龙(g),藕荐拳拱(g),寸幅(g),侥捞级蜡(g),瘤规(g),唱飘俘(mg),眉吝,脚厘,眉吝函拳,脚眉劝悼瘤荐
咯己,34,2780,122.88,304.55,54.67,40.7,127.26,4625,45.4,166,0.4,3
咯己,31,1998,82.62,303.89,64.12,45.2,51.68,3373,61.1,156.1,-1.9,3
巢己,19,2061,51.89,303.89,93.73,34.3,75.79,3012,50.6,167.1,-5.65,3
巢己,23,2128,71.36,303.33,95.73,23.5,69.65,3287,61.6,178.1,-5.9,1
咯己,24,1688,39.09,302.25,157.89,17.2,39.77,1196,59.1,155.3,3.75,4
巢己,24,2608,71.49,301.9,77.6,20.5,60.96,2606,54.4,163.9,-0.5,3
咯己,25,2191,72.8,301.51,140.16,16.8,81.94,2656,58.5,149.8,-4.5,4
咯己,38,3083,116.95,301.4,70.23,18.3,151.24,5890,61.4,155.8,5.15,3
巢己,32,2445,93.3,300.69,163.82,17.6,100.43,3361,59,169.2,-4.9,2
巢己,21,1731,50.78,300.38,100.93,16.4,37.5,2242,64.5,165,10.5,3
咯己,39,2238,107.21,298.63,145.19,18.7,52.66,3852,47.2,151,2.2,3
巢己,37,1931,55.45,297.2,92.39,25.5,59.3,3943,68.3,165.2,4.4,2
咯己,22,2060,68.17,294.73,61.23,35.7,68.63,2316,52.5,150.7,-1.5,3
巢己,31,2692,88.02,293.87,67.13,74,140.85,3640,81,172,0.9,3
咯己,20,2479,83.1,292.8,142.43,15,108.24,4898,48.3,163.4,-1.2,1
咯己,37,2705,94.82,292.77,61.5,40.6,134.15,3913,61.7,158.5,-2.2,2
咯己,33,3138,86.58,292.57,52.92,36.9,134.75,3550,78.8,164.5,-2.2,3
巢己,25,1892,57.97,292.45,107.62,34.5,60.3,3058,82.8,168.3,5.4,4
巢己,39,2158,90.77,292.3,35.12,44,76.65,3510,63.1,166.1,-4.4,2
巢己,19,1807,75.23,292.05,28.7,8.8,35.12,2819,70.9,169.7,3.4,3
咯己,30,1718,48.19,291.17,85.27,21,39.19,2086,55,145.1,9.55,1
巢己,34,1760,45.89,289.56,128.79,13.8,48.79,3251,80.7,172,4.2,3
巢己,27,2254,113.01,287.04,135.52,7.6,70.18,5603,71.5,176.8,-0.95,1
巢己,26,2624,90.97,286.83,129.92,49.3,137.01,3417,72.3,172.5,1.65,3
巢己,35,3615,355.67,286.51,184.77,25.7,114.41,6928,115.8,170,12.3,3
巢己,21,2835,134.19,286.25,126.18,28.8,133.42,4608,64.6,177.8,3.85,3
咯己,28,2045,63.07,285,97.16,24.9,75.81,2531,58.7,157.8,2.45,2
咯己,30,2528,178.86,282.88,70.94,7.9,71.82,5601,53.3,160.8,-2.95,4
巢己,22,2839,110.41,282.58,44.24,28.6,142.92,5343,73,174.8,-0.8,3
巢己,27,2011,63.79,282.57,110.13,33.6,76.98,2326,78.3,167.3,6.3,3
巢己,24,2077,113.03,280.95,182.95,9.7,58.11,4280,100.3,184.8,10.3,2
咯己,20,2213,55.22,279.49,123.39,11.7,99.69,3035,79,166.5,-6.5,3
巢己,27,2750,138.19,279.23,123.91,16.8,125.06,4725,67.2,166.4,1.95,3
咯己,22,2342,101.57,278.54,102.5,16,90.62,5947,85.6,173.1,-8.9,2
巢己,30,2573,104.25,278.15,154.26,6.8,117.56,4508,76.5,176.2,-4.5,3
巢己,20,1940,92.25,276.62,38.84,21.1,50.96,3666,74.3,172.4,6.8,3
巢己,30,2217,74.99,276.06,137.59,8,89.35,3595,53.5,158.8,1.75,3
咯己,28,2140,91.43,275.87,119.42,22.7,76.46,2753,60.3,162.3,4.05,2
巢己,19,1743,91.18,275.81,95.61,45.7,35.51,5731,64.9,171.3,-0.8,2
咯己,27,2960,96.84,275.7,170.17,15.4,170.53,4893,55.3,162.6,5.8,1
咯己,33,3146,190.98,275.46,82.53,16,141.45,7251,72.6,158.4,11.4,2
咯己,34,2206,101.58,275.33,142.26,32.5,86.04,6634,59.6,165.2,5.6,3
巢己,23,1959,70.36,275.17,56.82,17.2,66.72,3681,69.2,179.5,3.95,3
咯己,33,2016,71.94,274.89,114.12,15.6,72.12,3185,48,145.3,3,2
巢己,21,2005,99.44,274.88,15.97,13.8,55.71,6731,83.7,169.6,9.45,4
咯己,24,2527,40.54,274.64,158.69,13.6,48.55,2376,57.6,157.1,-3.15,3
咯己,31,2000,108.35,274.44,150.41,22.8,59.3,4368,72,165.9,0.9,1
咯己,28,1817,67.17,274.29,96.52,42.4,56.85,3753,54.3,148.8,1.2,3
巢己,32,2146,67.64,273.74,107.59,11.6,88.52,2589,74.2,166.1,6.7,1
咯己,30,2146,52.82,272.83,101.93,25.6,100.27,3174,73.2,163.1,0.75,3
咯己,32,1905,39.35,272.57,98.85,15,73.82,2519,65.5,153.7,1.6,2
咯己,39,1718,62.09,271.57,140.97,13.6,47.95,3964,60.8,156.2,-2.2,1
巢己,19,3585,118.79,271.04,161.61,14,144.42,4586,71.7,178.9,-9.3,2
咯己,19,1683,64.74,270.2,145.54,4.6,33.18,3785,57.5,155.9,1.25,2
咯己,20,2279,64.23,269.77,14.13,10.5,104.81,4830,58.1,155.4,5.45,3
咯己,32,2141,88.46,269.56,98.65,12.5,79.82,4713,79.1,155.2,4.85,3
咯己,30,1920,69.46,269.24,109.53,21.6,68.47,3516,56.2,164.6,2.2,3
巢己,29,2217,87.5,268.63,104.3,16.7,79.79,3769,83.7,185.7,2.7,3
巢己,33,1589,43.33,267.27,83.73,26,39.86,2057,58.8,168.9,-0.6,2
咯己,28,1819,52.91,265.94,100.18,10.8,60.62,3724,52.4,166.2,-1.6,2
咯己,25,2879,137.39,265.69,55.36,13.7,104.62,6119,58.5,174.6,2.25,2
咯己,30,1406,36.76,265.6,128.5,16.4,24.51,1244,55.2,153.9,-2.4,4
巢己,31,1908,64.77,265.16,57.61,19,66.61,2829,90.5,171.9,11.75,2
咯己,24,2297,55.17,265.1,110.41,21.4,105.79,3620,53.9,164.9,0.8,3
咯己,27,1874,59.71,265.06,144.01,28.7,71.93,1687,81.3,155.9,4.8,1
巢己,20,2673,254.76,264.6,61.72,7.9,61.33,5087,63.1,166.7,-6.65,2
咯己,39,1838,54.85,264.48,97.35,14.8,63.94,3665,57.3,154.8,1.5,2
咯己,23,1960,54.58,264.39,147.52,21.8,80.69,2299,65.4,159.8,4.65,3
巢己,39,1749,86.1,264.05,88.85,29.7,42.93,2359,68.5,168.3,-4.4,2
咯己,36,2255,81.17,263.95,73.09,44.1,102.94,3390,71.1,157.7,-2.7,2
咯己,32,1831,80.27,263.73,160.51,21.1,56.75,2418,54.4,153.1,-1.85,2
巢己,32,2169,111.9,263.59,116.89,24.5,76.73,3477,62.2,170.1,-3.05,3
巢己,24,2059,114.09,263.24,38.57,17.9,60.33,6652,72.6,167.4,5.1,3
巢己,24,1731,47.67,263,100.94,12.5,57.21,2339,80,165.8,1.25,4
巢己,38,2364,134.9,262.88,135.93,26.2,96,7399,85.3,180.4,-0.2,2
咯己,28,2077,120.34,262.78,131.67,21.7,66.49,4003,49,156.9,-1.4,4
咯己,30,2398,64.35,262.53,125.09,14.5,65.3,3757,66.1,156.6,-3.65,3
咯己,38,1864,51.5,262.51,98.6,14.6,72.19,2838,51,160.7,-4.35,2
巢己,38,1834,73.86,261.32,79.1,23.9,56.03,2710,65.3,159.4,3.2,3
巢己,32,1701,50.62,260.49,127.21,9.4,52.5,2280,75,161,5.25,3
咯己,30,2156,127.67,259.78,127.98,19.3,72.84,7263,54.8,151.2,-2.35,3
咯己,35,1428,27.75,259.64,166.77,19.5,37.28,1305,70.4,145.6,3.8,2
巢己,37,2830,103.3,259.4,99.97,11.4,121.99,5609,78.6,182.6,0.3,3
咯己,23,1994,80.12,259.02,84.57,18.8,71.94,3655,54.5,151.3,7.25,2
巢己,25,2827,132.25,258.77,107.62,17,142.29,5019,50,160.7,0.5,3
咯己,30,3859,204.6,258.52,94.31,16.4,230.87,5974,80.7,162.7,6.45,2
巢己,35,1557,37.83,257.95,56.26,14,41.62,2572,74.7,166.5,-14.4,3
巢己,25,4500,244.74,257.46,131.38,10.4,282.3,8454,68.5,170.6,-1.25,3
巢己,30,2106,125.38,257.39,40.82,30.3,64.96,6541,73.3,176.8,0.4,2
巢己,29,2562,128.39,257.38,91.86,18.8,101.01,5604,78.9,162.3,2.4,3
咯己,37,1826,106.96,257.09,176.73,21.6,46.51,3240,44.7,154.9,1.95,3
巢己,19,2408,108.8,257.08,100.44,8.8,104.83,5126,89.7,175.2,5.55,2
咯己,36,1671,76.09,257.06,79.69,19.3,40.37,3974,80.6,161.6,1.4,3
咯己,30,1835,77.09,256.68,47.46,13,54.81,3838,49.2,151.2,0.6,1
巢己,28,1751,48.46,255.72,64.86,25.9,63.83,2916,71.4,168.5,8.4,3
巢己,37,1974,44.82,255.59,112.96,38.6,88.63,1927,69.2,169.3,-0.55,2
巢己,32,2223,113.34,254.4,51.35,16.8,83,5476,67.3,172.8,-4.25,1
咯己,33,1701,51.97,254.18,110.98,9.7,54.23,3256,48.6,148.3,-0.9,3
巢己,25,2681,162.82,252.39,79.33,31.8,116.28,4121,78.9,176.6,-4.35,2
咯己,37,2611,120.43,252.24,109.29,26.3,130.75,2993,52.9,160,-1.1,2
巢己,24,1910,112.13,252.04,122.08,13.4,49.48,3090,54.6,159.3,2.85,2
巢己,23,1827,75.89,251.87,111.24,6.1,57.42,3455,72.4,180.3,3.1,3
咯己,37,1706,54.74,251.35,141.75,12.5,56.25,2173,64.5,162.3,6,2
巢己,33,2629,168.92,251.09,85.03,16.7,107.78,8299,69.6,166.4,2.1,2
咯己,25,2017,53.57,250.84,106.65,25.4,92.47,2698,76.3,159.2,-0.2,3
巢己,38,2856,175.85,250.64,67.26,15.5,109.33,4319,80.4,172.8,1.2,2
巢己,19,2036,99.59,250.55,88.97,31.5,55.39,1945,77.5,165,7.75,3
咯己,26,2487,118.21,250.48,51.06,14.8,108.67,5038,54.2,159.4,-2.05,3
咯己,25,2159,101.07,250.39,96.38,11.7,85.23,5933,54,159.8,4.5,1
巢己,35,2142,95.78,250.22,117.61,16.4,88.34,3792,71.9,172.2,2.15,3
巢己,29,1703,51.51,249.9,84.43,10.7,56.13,9886,81.3,185,-8.7,3
巢己,19,1566,39.58,249.81,131.77,26.7,49.24,1927,78.4,185.6,-1.7,2
巢己,20,1636,78.27,248.92,37.28,8.5,34.29,3348,82.5,158.3,1.5,2
咯己,36,1879,56.93,248.59,96,17.1,75.79,4738,60.3,155,0.45,2
咯己,28,2049,61.25,248.39,67.17,35.9,84.62,5648,65.6,172.4,2.6,3
巢己,20,1537,45.95,248.15,115.22,6.9,40.9,3259,95.1,174.4,0.6,3
巢己,34,2039,119.63,247.92,127.66,18.3,58.58,6225,62.5,162.4,4,2
巢己,26,1520,32.82,247.37,121.98,14.8,48.13,1916,47.1,161.4,-0.15,3
巢己,26,1975,99.12,246.54,77.22,15.8,69.08,4342,93.7,185.1,-3.05,3
咯己,27,1632,62.46,246.42,134.27,19.1,49.38,2376,52,152.9,-1.55,2
巢己,22,1855,50.52,245.37,124.58,21.2,66.2,2514,83,175.8,8.75,3
咯己,28,1834,44.08,244.84,104.63,14.1,48.69,2019,64.1,156.2,2.9,3
巢己,19,2511,106.3,244.69,100.97,11,123.61,4561,57.7,164.9,-0.8,2
咯己,26,1775,75.38,243.87,87.61,9.2,56.01,3379,65.2,172.3,-0.05,2
咯己,24,1963,79.87,241.64,51.68,17.2,75.13,3538,64.5,156.7,-5.25,3
巢己,26,2782,167.53,241.49,104.32,39.3,131.62,4169,74.7,179.8,2.7,3
巢己,27,4587,318.99,241.13,56.55,13.6,255.27,8333,54.8,161.8,-1.45,4
咯己,28,2226,72.11,240.2,67.13,14.3,109.55,3990,60.1,157.7,-1.1,2
咯己,33,1455,44.81,239.96,46.91,35.1,37.26,2004,70.8,160.5,4.2,3
巢己,31,1839,69.42,238.41,76.15,16.3,67.61,3357,74.2,167.8,-0.05,3
巢己,36,1981,90.06,237.89,61.13,13.1,75.15,5852,88.9,176.3,5.65,2
咯己,37,2338,89.11,237.38,126.31,12,83.97,8097,67.3,152,4.3,1
咯己,28,2328,146.44,237.11,100.5,28.1,89.97,4583,81.8,154.6,4.4,3
巢己,36,1523,70.23,236.75,84.14,13.8,34.08,3606,81.5,161.3,5,3
咯己,39,2388,95.47,236.5,55.58,18.9,121.42,5921,80,158.8,-3.25,2
咯己,27,2210,85.43,236.25,115.33,13.8,103.99,3610,52.5,159.2,0.75,3
咯己,25,1836,74.59,236.1,119.83,14,69.42,3085,49.3,150.2,4.3,3
咯己,36,2225,102.92,236.09,105.7,7.3,88.41,3688,56,162.3,2,3
巢己,24,2252,78.57,235.76,83.82,18.4,97.21,4831,74.3,176.2,0.05,2
巢己,35,2233,82.58,235.43,57.67,15.2,111.13,4225,107.9,182.2,8,2
咯己,32,1591,46.32,235.28,173.31,9.4,60.14,1314,59.5,157.6,-5.75,4
咯己,30,1673,66.59,234.94,41.46,15.8,51.59,3605,45.5,143.4,1.4,4
咯己,24,2055,71.83,234.44,122.15,11.5,94.82,2650,61.8,156.4,6.9,2
巢己,34,2105,82.78,234.22,93.98,28,96.47,3487,70.6,174.1,-0.95,3
巢己,29,1629,60.74,233.59,58.11,17.4,51.44,3701,85.1,175,8.6,3
咯己,30,1712,33.62,233.32,82.95,25.7,48.87,2005,53.9,155.4,2.15,3
